Stations_id;Bezugszeitraum;Datenquelle;Jan.;Feb.;März;Apr.;Mai;Jun.;Jul.;Aug.;Sept.;Okt.;Nov.;Dez.;Jahr;
      4029;1991-2020;        46;       2.6;         3;       5.6;       9.6;      13.4;      16.3;      18.3;      17.9;      14.3;      10.1;       6.2;       3.4;        10;
      4032;1991-2020;        42;       1.5;       2.1;       5.1;       9.4;      13.6;      16.8;        19;      18.7;      14.6;        10;       5.6;       2.6;       9.9;
      4036;1991-2020;        51;        .4;       1.3;       4.3;       8.9;      13.1;      16.5;      18.6;      18.4;      14.2;       9.6;       4.8;       1.4;       9.3;
      4038;1991-2020;        46;       1.8;       2.2;       4.5;       8.5;      12.5;      15.5;      17.7;      17.4;      13.9;       9.6;       5.4;       2.7;       9.3;
      4039;1991-2020;        42;       1.9;       2.1;       4.5;       8.6;      12.5;      15.5;      17.7;      17.4;      13.8;       9.7;       5.4;       2.8;       9.3;
      4053;1991-2020;        46;        .9;       1.7;       5.7;       9.9;      14.1;      17.7;      19.3;      18.9;      14.5;       9.8;       4.9;       1.7;       9.9;
      4063;1991-2020;        51;       2.3;       2.7;       5.4;       9.4;      13.3;      16.3;      18.5;      18.2;      14.2;      10.1;       6.1;       3.2;       9.9;
      4066;1991-2020;        46;       -.2;        .5;       4.4;       8.7;      13.1;      16.5;      18.2;      17.9;      13.3;         9;       3.8;        .7;       8.8;
      4077;1991-2020;        46;       2.6;       3.5;       7.1;      11.1;      15.3;      18.7;      20.5;      19.9;      15.6;        11;       6.3;       3.4;      11.3;
      4079;1991-2020;        46;        .6;       1.3;       4.7;       9.2;      13.5;      16.7;      18.8;      18.5;      14.1;       9.4;       4.7;       1.6;       9.4;
      4091;1991-2020;        46;      -2.4;      -2.2;        .4;       4.4;       8.7;      12.1;      13.9;      13.9;        10;       6.4;       1.5;      -1.6;       5.4;
      4094;1991-2020;        51;        .3;         1;       5.1;       9.2;      13.7;      17.2;      18.8;      18.2;      13.8;       9.3;       4.4;       1.1;       9.3;
      4100;1991-2020;        46;         3;       3.4;       6.3;      10.1;      13.9;      16.8;      18.8;      18.3;      14.5;      10.6;       6.6;       3.7;      10.5;
      4104;1991-2020;        51;       -.5;        .7;         5;       9.8;      14.3;      17.8;      19.4;      19.1;      14.1;         9;       3.9;        .5;       9.4;
      4125;1991-2020;        46;         0;       1.1;         5;       9.3;      13.7;      17.2;      18.7;      18.4;        14;       9.5;       4.3;        .7;       9.3;
      4127;1991-2020;        42;       1.5;         2;       5.1;       9.1;        13;      15.9;      17.7;      17.5;      13.7;       9.6;       5.2;       2.2;       9.4;
      4149;1991-2020;        46;      -1.8;      -1.4;       1.5;       6.1;      10.5;      13.7;      15.7;      15.5;      11.3;       7.1;       2.3;       -.8;       6.6;
      4152;1991-2020;        46;       -.2;        .2;       3.5;       7.5;      11.7;      15.3;      17.1;      16.7;      12.5;       8.3;       3.4;        .5;         8;
      4154;1991-2020;        46;       1.6;       2.1;         5;       8.8;      12.6;      15.5;      17.5;        17;      13.4;       9.5;       5.3;       2.3;       9.2;
      4156;1991-2020;        46;       1.9;       2.1;       4.3;       8.2;      12.2;      15.4;      17.7;      17.4;        14;       9.7;       5.6;       2.8;       9.3;
      4160;1991-2020;        42;        .7;       1.4;       4.8;       8.8;      12.9;      16.3;      18.1;      17.8;      13.5;       9.3;       4.5;       1.5;       9.1;
      4166;1991-2020;        46;       1.4;       2.2;       5.9;        10;      14.1;      17.6;      19.4;      18.9;      14.5;        10;       5.2;       2.2;      10.1;
      4169;1991-2020;        51;       2.3;       3.2;       6.8;      10.8;        15;      18.4;      20.1;      19.5;      15.1;      10.6;         6;       3.2;      10.9;
      4174;1991-2020;        46;       2.8;       3.2;       5.9;       9.9;      13.7;      16.5;      18.5;      18.1;      14.5;      10.4;       6.3;       3.5;      10.3;
      4175;1991-2020;        51;       2.2;       3.1;       6.8;      10.6;      14.6;      18.4;        20;      19.5;      15.1;      10.9;         6;       2.9;      10.8;
      4177;1991-2020;        42;       2.5;       3.4;         7;        11;      15.2;      18.7;      20.6;      20.1;      15.6;        11;       6.2;       3.3;      11.2;
      4189;1991-2020;        42;       -.2;        .5;       4.4;       8.5;      12.7;      16.3;      17.9;      17.6;      13.2;       8.7;       3.7;        .5;       8.7;
      4222;1991-2020;        46;       -.5;        .2;       3.4;         8;      12.3;      15.6;      17.5;      17.2;      12.9;       8.4;       3.7;        .5;       8.3;
      4233;1991-2020;        46;        .1;        .5;       3.8;       7.9;      12.1;      15.3;      17.2;      16.7;      12.4;       8.4;       3.8;         1;       8.3;
      4240;1991-2020;        46;       1.4;       1.8;       4.8;       8.3;      11.9;        15;        17;      16.7;      13.3;       9.4;       5.1;       2.2;       8.9;
      4261;1991-2020;        51;       -.2;         1;         5;       9.5;      13.8;      17.4;      18.8;      18.3;      13.7;       9.2;       4.1;        .7;       9.2;
      4271;1991-2020;        51;       1.9;       2.2;       4.4;       8.4;      12.5;        16;      18.3;      18.4;        15;      10.5;         6;         3;       9.7;
      4275;1991-2020;        51;       1.9;       2.2;         5;       9.3;      13.2;      16.3;      18.5;      17.7;      14.2;       9.9;       5.5;         3;       9.7;
      4278;1991-2020;        46;        .3;       1.1;       4.9;       9.5;      14.1;      17.6;      19.4;      18.8;      13.9;       9.1;       4.4;       1.2;       9.5;
      4280;1991-2020;        42;        .2;        .9;       4.6;       9.3;      13.8;      17.3;      19.1;      18.6;      13.7;       8.9;       4.1;         1;       9.3;
      4287;1991-2020;        51;        .5;       1.2;       4.8;       9.2;      13.3;      16.7;      18.6;      18.3;      13.8;       9.2;       4.4;       1.4;       9.3;
      4288;1991-2020;        46;       2.3;       2.8;       5.6;       9.6;      13.5;      16.4;      18.5;      18.1;      14.3;      10.2;       6.1;       3.2;      10.1;
      4294;1991-2020;        46;       1.2;       1.9;       5.6;       9.7;      13.7;      17.4;      19.2;      18.7;      14.3;       9.9;       5.1;         2;       9.9;
      4300;1991-2020;        51;       -.1;        .4;       3.9;       7.8;      12.1;      15.7;      17.6;      17.2;      12.9;       8.8;       3.8;        .7;       8.4;
      4301;1991-2020;        51;       2.4;       3.2;       6.7;        11;      15.1;      18.5;      20.4;      19.8;      15.4;      10.3;       6.1;       3.2;        11;
      4320;1991-2020;        46;       1.7;         2;       4.3;       8.2;      12.3;      15.4;      17.7;      17.5;        14;       9.7;       5.5;       2.7;       9.2;
      4323;1991-2020;        51;        .7;       1.6;       5.1;       9.2;        13;      16.4;      18.5;      18.3;      14.1;       9.5;       4.7;       1.6;       9.3;
      4327;1991-2020;        46;      -2.3;      -1.6;       2.2;       6.8;      11.3;      14.5;      16.2;      15.9;      11.5;       7.2;       2.3;      -1.1;       6.9;
      4330;1991-2020;        46;         1;       1.8;       5.4;       9.4;      13.3;      16.8;      18.7;      18.4;        14;       9.6;       4.8;       1.9;       9.6;
      4332;1991-2020;        46;        .8;       1.5;       4.8;       9.3;      13.6;      16.7;      18.8;      18.4;      13.9;       9.2;       4.9;       1.7;       9.5;
      4336;1991-2020;        51;       1.5;       2.3;       5.8;       9.6;      13.4;      16.8;      18.7;      18.3;      14.2;       9.9;       5.3;       2.4;       9.8;
      4339;1991-2020;        46;       2.6;       3.3;       6.8;      10.7;      14.7;        18;      19.9;      19.3;        15;      10.8;       6.4;       3.4;      10.9;
      4347;1991-2020;        46;        .1;        .7;       3.7;       8.2;      12.4;      15.4;      17.5;      17.1;        13;       8.5;       4.2;       1.1;       8.5;
      4349;1991-2020;        51;       1.7;       2.6;       6.3;      10.6;      14.7;      18.1;      19.9;      19.4;      14.9;      10.3;       5.4;       2.5;      10.5;
      4354;1991-2020;        51;      -1.7;       -.5;       3.6;       8.6;      13.3;      16.5;      18.1;      17.7;      13.1;       8.3;       3.1;       -.6;       8.3;
      4364;1991-2020;        46;       1.7;       2.3;       5.2;       9.6;      13.6;      16.7;      18.8;      18.5;      14.4;        10;       5.8;       2.8;       9.9;
      4367;1991-2020;        46;       1.6;       2.1;       4.8;       8.9;      12.7;      15.8;      17.8;      17.5;      13.7;       9.6;       5.5;       2.5;       9.4;
      4371;1991-2020;        51;       2.1;       2.7;       5.6;       9.7;      13.4;      16.2;      18.3;      18.1;      14.3;      10.1;       5.9;         3;       9.9;
      4373;1991-2020;        46;       1.5;       2.1;       4.7;       9.3;      13.5;      16.5;      18.6;      18.2;      14.3;       9.6;       5.3;       2.5;       9.7;
      4377;1991-2020;        51;       -.4;        .4;         4;       8.6;      12.6;      15.7;      17.7;      17.5;      13.3;       8.4;       3.6;        .4;       8.4;
      4391;1991-2020;        46;         2;       2.2;       4.5;       8.5;      12.4;      15.4;      17.7;      17.5;      14.2;        10;       5.8;         3;       9.4;
      4393;1991-2020;        44;       2.2;       2.2;       4.3;       8.2;      12.1;      15.3;      17.7;      17.9;      14.8;      10.4;       6.2;       3.4;       9.5;
      4396;1991-2020;        46;       1.2;       1.9;       5.3;       9.2;      13.1;      16.5;      18.4;      17.9;      13.8;       9.5;         5;         2;       9.5;
      4397;1991-2020;        46;       1.1;       1.8;       5.3;       9.2;      13.1;      16.4;      18.3;      17.9;      13.9;       9.5;       4.9;         2;       9.4;
      4401;1991-2020;        46;       2.6;       3.1;         6;       9.9;      13.7;      16.7;      18.8;      18.4;      14.5;      10.4;       6.4;       3.4;      10.3;
      4411;1991-2020;        51;       2.2;       2.9;       6.3;      10.3;      14.3;      17.7;      19.6;      19.2;      14.8;      10.4;         6;       3.1;      10.5;
      4419;1991-2020;        46;       2.5;       3.5;       7.2;      11.3;      15.3;      18.9;      20.6;      20.1;      15.6;      11.1;       6.3;       3.4;      11.3;
      4425;1991-2020;        46;        .7;       1.5;       4.9;       8.8;      12.6;      15.9;      17.9;      17.7;      13.5;       9.2;       4.6;       1.6;       9.1;
      4433;1991-2020;        46;       -.1;        .5;       4.4;       8.6;        13;      16.5;      18.2;      17.7;      13.3;       8.9;       3.9;        .7;       8.8;
      4436;1991-2020;        46;        .5;         1;       4.4;       8.6;      12.7;        16;      17.9;      17.5;      13.3;       8.8;       4.4;       1.4;       8.9;
      4438;1991-2020;        46;        .6;       1.2;       4.8;       9.4;      13.7;        17;      18.8;      18.4;      13.9;       9.2;       4.6;       1.5;       9.4;
      4442;1991-2020;        46;       1.8;       2.3;       5.3;       9.4;      13.3;      16.3;      18.3;      17.9;        14;       9.8;       5.7;       2.7;       9.7;
      4445;1991-2020;        51;      -1.5;      -1.2;       1.1;       5.3;       9.8;        13;        15;      14.5;      10.7;       6.6;       2.6;       -.5;       6.2;
      4464;1991-2020;        42;       -.7;         0;       3.4;         8;      12.1;      15.5;      17.5;      17.4;      13.1;       8.5;       3.6;        .3;       8.2;
      4466;1991-2020;        51;       1.7;       1.9;       4.1;       7.9;        12;        15;      17.3;      17.1;      13.8;       9.6;       5.4;       2.7;         9;
      4468;1991-2020;        46;       1.7;       1.9;       4.1;         8;        12;      15.1;      17.4;      17.2;      13.8;       9.6;       5.4;       2.7;       9.1;
      4474;1991-2020;        46;       1.9;       2.7;       6.1;      10.2;      14.2;      17.5;      19.4;      18.9;      14.7;        10;       5.6;       2.7;      10.3;
      4479;1991-2020;        46;        .4;        .8;       4.1;       8.2;      12.4;      15.7;      17.5;        17;      12.7;       8.6;       4.1;       1.2;       8.6;
      4480;1991-2020;        51;         1;       1.7;       4.9;         9;      13.2;      16.5;      18.3;      17.6;      13.3;       9.2;       4.9;       1.9;       9.3;
      4484;1991-2020;        46;       1.6;         2;       4.5;       8.6;      12.6;      15.6;      17.9;      17.6;      13.9;       9.5;       5.3;       2.5;       9.3;
